epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4421.02,0.73988,0.73918,1.1798,0.88027,0.89546,0.93441,0.79626,0.60055,0.4931,1.15047,0.000848969,0.000848969,0.000848969
43,4525.7,0.7378,0.71371,1.17502,0.87258,0.90136,0.93575,0.80322,0.58323,0.50449,1.13957,0.000834822,0.000834822,0.000834822
44,4630.39,0.74799,0.7534,1.18607,0.86651,0.91737,0.94504,0.81133,0.59479,0.49246,1.12996,0.000820675,0.000820675,0.000820675
45,4735.23,0.72321,0.72632,1.17196,0.89501,0.89827,0.95168,0.81573,0.59156,0.48356,1.13608,0.000806528,0.000806528,0.000806528
46,4840.21,0.71127,0.70966,1.15984,0.90614,0.8841,0.94758,0.81623,0.58688,0.46908,1.13816,0.00079238,0.00079238,0.00079238
47,4945.09,0.72451,0.70983,1.16896,0.90003,0.87722,0.94338,0.81101,0.58732,0.47096,1.13472,0.000778233,0.000778233,0.000778233
48,5049.46,0.71416,0.69749,1.16859,0.88124,0.89783,0.941,0.80994,0.57913,0.47647,1.12979,0.000764086,0.000764086,0.000764086
49,5154.21,0.71618,0.68542,1.15258,0.84269,0.91773,0.94314,0.81023,0.58711,0.47652,1.12846,0.000749939,0.000749939,0.000749939
50,5258.92,0.7137,0.71826,1.16391,0.87139,0.91708,0.94841,0.82022,0.57447,0.46106,1.1287,0.000735792,0.000735792,0.000735792
51,5363.8,0.70395,0.69593,1.15644,0.89519,0.91564,0.95395,0.82294,0.58853,0.4549,1.13956,0.000721645,0.000721645,0.000721645
52,5468.55,0.70022,0.67112,1.15218,0.84608,0.91953,0.94481,0.81139,0.6003,0.49878,1.13498,0.000707498,0.000707498,0.000707498
53,5573.28,0.70923,0.68081,1.15269,0.87674,0.90912,0.94641,0.81072,0.599,0.47333,1.15436,0.000693351,0.000693351,0.000693351
54,5677.8,0.712,0.67148,1.16301,0.872,0.93597,0.94957,0.81921,0.58429,0.45376,1.12947,0.000679204,0.000679204,0.000679204
